Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
adidas-classic-backpack-1,ADIDAS | CLASSIC BACKPACK,"This women's backpack has a glam look, thanks to a faux-leather build with an allover fur print. The front zip pocket keeps small things within reach, while an interior divider reins in potential chaos.",ADIDAS,,ACCESSORIES,"adidas, backpack, egnition-sample-data",true,Size,OS,Color,black,,,AD-03-black-OS,0.0,shopify,14,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/85cc58608bf138a50036bcfe86a3a362_431bbafc-b19d-4fad-96d5-c0b4cb0184fb.jpg?v=1667516287,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
adidas-classic-backpack-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8a029d2035bfb80e473361dfc08449be_4d2f7f0f-3fef-452b-af25-269ba7410d38.jpg?v=1667516287,2,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ad50775123e20f3d1af2bd07046b777d_7f367984-cb61-4e68-8524-4657d36fae08.jpg?v=1667516287,3,,,,,,,,,,,,,,,,,,,,,,,,
dr-martens-cavendish-3-eye-shoe-black-2,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,"Make a statement with the Dr Marten's Cavendish 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,,SHOES,"autumn, drmartens, egnition-sample-data, women",true,Size,4,Color,black,,,DM-02-black-4,0.0,shopify,13,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8d7a6c39d295441c940cb2bacfd34794_187cd757-9598-4de0-ae45-a85f14c7c124.jpg?v=1667516286,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
dr-martens-cavendish-3-eye-shoe-black-2,,,,,,,,,5,,black,,,DM-02-black-5,0.0,shopify,5,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/5e9b81fa0cc9e624f05135f9d6a5e9c6_d7955945-7166-4d3c-9cf0-a4953f0db0c7.jpg?v=1667516286,2,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-cavendish-3-eye-shoe-black-2,,,,,,,,,6,,black,,,DM-02-black-6,0.0,shopify,17,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/c89d6c41716d18d35a319b2fc9076f00_b76b3b8c-826e-4d96-95b8-c4045f65c188.jpg?v=1667516286,3,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-cavendish-3-eye-shoe-black-2,,,,,,,,,7,,black,,,DM-02-black-7,0.0,shopify,12,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/f531a2e3638b96c7dfbb8996be358a71_45bd8141-a67f-4bdb-a7e7-4b1ae1a04117.jpg?v=1667516286,4,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-cavendish-3-eye-shoe-black-2,,,,,,,,,8,,black,,,DM-02-black-8,0.0,shopify,8,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/6fa35f6e73c14056c983b3779f4933b8_718f1254-f4ca-4dcb-99c1-ebdb8cde0dd4.jpg?v=1667516286,5,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-cavendish-3-eye-shoe-black-2,,,,,,,,,9,,black,,,DM-02-black-9,0.0,shopify,18,deny,manual,229.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-swoosh-pro-flat-peak-cap-1,NIKE | SWOOSH PRO FLAT PEAK CAP,The Nike Swoosh Pro Flat Snapback features an embroidered logo for style and wool construction with an adjustable closure for a comfortable fit.,NIKE,,ACCESSORIES,"cap, egnition-sample-data, nike",true,Size,OS,Color,white,,,NK-03-white-OS,0.0,shopify,16,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/58262e66c5e9731050280eb16880d5a4_fe683efc-3500-4a60-8b99-cd2353b0305d.jpg?v=1667516283,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
nike-swoosh-pro-flat-peak-cap-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/0c431da3011f1bc086cb561266367207_938c195c-83ab-4fef-99d7-7a8c955a8d6a.jpg?v=1667516283,2,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/93c1c61ff207aac853d1f482e03fcd3c_3803ecd5-06b2-4112-85ee-3cdaef9b7805.jpg?v=1667516283,3,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/c1a864cb74de0e0fd0004872d6a00edd_4be52388-0128-4784-841f-7867219d1854.jpg?v=1667516283,4,,,,,,,,,,,,,,,,,,,,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,"Make a statement with the iconic Dr Marten's 1461Z DMC 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,,SHOES,"autumn, drmartens, egnition-sample-data, spring, women",true,Size,5,Color,black,,,DM-01-black-5,0.0,shopify,2,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/141e61b24821f6212219a381ed19ac8a_314411cd-d4db-4f14-9457-7eb8764e306b.jpg?v=1667516282,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,6,,black,,,DM-01-black-6,0.0,shopify,20,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/32a3557bccae4e2f615726a1aa7550fb_8980f24a-2401-4d84-ae7c-d5e68c047771.jpg?v=1667516282,3,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,7,,black,,,DM-01-black-7,0.0,shopify,16,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/609ed43084a591eddac8bcf740787215_a837bc61-cd74-4b09-8dc0-ef98cbb4640a.jpg?v=1667516282,4,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,8,,black,,,DM-01-black-8,0.0,shopify,17,deny,manual,229.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ec797abd9582e4b22cda99a72fb14b76_71eff472-7feb-43b4-a644-f7d058510f9d.jpg?v=1667516282,5,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,9,,black,,,DM-01-black-9,0.0,shopify,2,deny,manual,229.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,10,,black,,,DM-01-black-10,0.0,shopify,4,deny,manual,229.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,11,,black,,,DM-01-black-11,0.0,shopify,7,deny,manual,229.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth-2,,,,,,,,,12,,black,,,DM-01-black-12,0.0,shopify,4,deny,manual,229.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
flex-fit-mini-ottoman-black-1,FLEX FIT | MINI OTTOMAN BLACK,Flexfit Mini Ottoman Cap,FLEX FIT,,ACCESSORIES,"egnition-sample-data, flex-fit, men",true,Size,s,Color,black,,,FF-01-black-s,0.0,shopify,3,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/6170fd62b8ebee856d0cbdeac874abfd_4b5114d8-d6c4-4718-b9ed-b8daab8c8a71.jpg?v=1667516279,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
flex-fit-mini-ottoman-black-1,,,,,,,,,m,,black,,,FF-01-black-m,0.0,shopify,4,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/47698bde92b6be2114ca1ac014e7d5cf_aa8a8cf9-d698-4e2d-bb0c-b0137027698b.jpg?v=1667516279,2,,,,,,,,,,,,,,,,,,,kg,,,,,
flex-fit-mini-ottoman-black-1,,,,,,,,,l,,black,,,FF-01-black-l,0.0,shopify,2,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/2406ea4db27c3e7bbc7f77d9d6ce1fa8_9b5ebe30-4615-4d1c-8174-3a9c34708081.jpg?v=1667516279,3,,,,,,,,,,,,,,,,,,,kg,,,,,
flex-fit-mini-ottoman-black-1,,,,,,,,,xl,,black,,,FF-01-black-xl,0.0,shopify,9,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/3f1610213c3029bbf6f050505fc02823_2bf5cfb1-f637-4916-a3e0-937fdac2ecb2.jpg?v=1667516279,4,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-crackle-print-tb-tee-2,NIKE | CRACKLE PRINT TB TEE,"Meet your new favorite tee, the Nike Crackle Print T-Shirt. Bringing its A-game in soft, premium fabric, it features a ribbed crew neck and a woven Nike label on the hem.",NIKE,,T-SHIRTS,"egnition-sample-data, men, nike, summer",true,Size,s,Color,blue,,,NK-01-blue-s,0.0,shopify,3,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/62a3dd0421fc5ccf4df6815b3694d734_a3ee0cd4-bde9-43a3-bac4-e01200e6c853.jpg?v=1667516278,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
nike-crackle-print-tb-tee-2,,,,,,,,,m,,blue,,,NK-01-blue-m,0.0,shopify,6,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ef0746b3c879000196dfce266154b537_ede9daa6-4e1a-4bd5-a602-90fdffd473cf.jpg?v=1667516278,2,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-crackle-print-tb-tee-2,,,,,,,,,l,,blue,,,NK-01-blue-l,0.0,shopify,16,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/544c0236ac6a8def363f3db689aacf08_62f8ef9c-b490-43d9-ad26-0794a702bfb7.jpg?v=1667516278,3,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-crackle-print-tb-tee-2,,,,,,,,,xl,,blue,,,NK-01-blue-xl,0.0,shopify,13,deny,manual,40.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
herschel-iona-1,HERSCHEL | IONA,"Featuring a cinch closure concealed by a slender top flap, the Iona backpack unites everyday practicality with clean design.",HERSCHEL,,ACCESSORIES,"backpack, egnition-sample-data, herschel",true,Size,OS,Color,black,,,H-01-black-OS,0.0,shopify,12,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/995988006b97471478db3371d573bfaf_841b944f-ab1e-49b2-bc2b-e4139430fd9f.jpg?v=1667516276,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
herschel-iona-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/b0ab17055d14298b4adb7499b23cb0bd_f584de96-6c6a-4ee4-84ce-b439903031c6.jpg?v=1667516276,2,,,,,,,,,,,,,,,,,,,,,,,,
herschel-iona-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/97da9be116d931319e458251c546a8cc_368b4b92-37f8-4550-b36f-d890d4a3fbf1.jpg?v=1667516276,3,,,,,,,,,,,,,,,,,,,,,,,,
herschel-iona-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/fde9f9b5276e4fa87968fcced7d2b254_e6428ec9-af9e-4cac-91eb-c50812df8bb0.jpg?v=1667516276,4,,,,,,,,,,,,,,,,,,,,,,,,
timberland-mens-6-inch-premium-boot-2,TIMBERLAND | MENS 6 INCH PREMIUM BOOT,"Timberland has been refining their craft of producing hard-wearing boots for decades. The 6-Inch Premium Waterproof Boot (or Wheat Boot) is the original men's Timberland boot and was first designed nearly 40 years ago. Continuous improvements to the design and construction, such as the addition of Timberland's exclusive anti-fatigue technology for all day comfort, has cemented these boots as a sturdy and dependable staple in anyone's shoe collection. The premium waterproof leather, seam-sealed construction and rugged lug outsoles provides long-lasting durability and comfort to help you get through any environmental conditions and adventure. An absolute must-have.",TIMBERLAND,,SHOES,"egnition-sample-data, men, timberland, winter",true,Size,7,Color,yellow,,,TM-01-yellow-7,0.0,shopify,14,deny,manual,299.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/d610851e0277cdfbe3402e03be2effd2_9fd07b37-3dd5-47d7-9b34-a93fbfc915b0.jpg?v=1667516275,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
timberland-mens-6-inch-premium-boot-2,,,,,,,,,8,,yellow,,,TM-01-yellow-8,0.0,shopify,18,deny,manual,299.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e90ae3bb88769a8dedb76a93953d0471_016dfab8-b3ef-4b97-b192-6cc296c239a4.jpg?v=1667516275,2,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,9,,yellow,,,TM-01-yellow-9,0.0,shopify,4,deny,manual,299.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/5ad155a45244156a291e25edd17ee672_bb9b466e-e63c-4f35-9e8f-fc912e4f9b49.jpg?v=1667516275,3,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,10,,yellow,,,TM-01-yellow-10,0.0,shopify,17,deny,manual,299.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e8d7ac1e388fb10ed31fbfe440d274ee_277c8115-acbc-473d-b0b1-b51235904f4f.jpg?v=1667516275,4,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,11,,yellow,,,TM-01-yellow-11,0.0,shopify,6,deny,manual,299.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/49e74b9c5a0231a4cbca1c04b0fc79f6_8c0b1da5-ffdf-41f2-b2fc-c3781b18fdf2.jpg?v=1667516275,5,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,12,,yellow,,,TM-01-yellow-12,0.0,shopify,11,deny,manual,299.95,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,13,,yellow,,,TM-01-yellow-13,0.0,shopify,20,deny,manual,299.95,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,14,,yellow,,,TM-01-yellow-14,0.0,shopify,14,deny,manual,299.95,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
timberland-mens-6-inch-premium-boot-2,,,,,,,,,15,,yellow,,,TM-01-yellow-15,0.0,shopify,17,deny,manual,299.95,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white-1,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,The classic super no show socks are for all your low top shoes like Classic Slip-Ons. These socks are designed to stay hidden under your shoes for an athletic look with either jeans or shorts. Thin walled breathable cotton/nylon blend.,VANS,,ACCESSORIES,"egnition-sample-data, unisex, vans",true,Size,9.5-13,Color,white,,,VN-10-white-9.5-13,0.0,shopify,18,deny,manual,19.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ccba62c19289e4b5f14b180c05836614_56d3f696-85a9-47bd-be7a-0b42c809e9c0.jpg?v=1667516272,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/c872c818621155d8fb535ee9d9c98803_6892132e-a748-48f8-82b3-115fa9aebe0d.jpg?v=1667516272,2,,,,,,,,,,,,,,,,,,,,,,,,
vans-classic-slip-on-perforated-suede-2,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE),"The Perforated Suede Classic Slip-On features low profile slip-on perforated suede uppers,, padded collars, elastic side accents, and signature rubber waffle outsoles.",VANS,,SHOES,"egnition-sample-data, men, summer, vans",true,Size,4,Color,beige,,,VN-09-beige-4,0.0,shopify,13,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/d0fb461a3a28439eb5a45b2e2fb232bb_eaa2938e-0649-4188-a919-31ac2e2ec243.jpg?v=1667516270,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
vans-classic-slip-on-perforated-suede-2,,,,,,,,,5,,beige,,,VN-09-beige-5,0.0,shopify,13,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ef0dd8033f11f8685ea287e35c9af258_bcf5d922-78fa-41b4-bcee-0ffc3d852d72.jpg?v=1667516270,2,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-classic-slip-on-perforated-suede-2,,,,,,,,,6,,beige,,,VN-09-beige-6,0.0,shopify,6,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/a8433b27433c750dabc5c2ffee71a7d8_2379f9d0-34b9-4d8e-80c0-dbd51df0fc41.jpg?v=1667516270,3,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-classic-slip-on-perforated-suede-2,,,,,,,,,7,,beige,,,VN-09-beige-7,0.0,shopify,13,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/a3ae47694220cefcf42599af62a03919_7c5bbbff-62a2-4b23-a775-7bd6937d7962.jpg?v=1667516270,4,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-classic-slip-on-perforated-suede-2,,,,,,,,,8,,beige,,,VN-09-beige-8,0.0,shopify,15,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/b94adbe2e88cdd487fc6dd796c28d617_e814d007-b919-4b9b-b022-bc636cfbb5c9.jpg?v=1667516270,5,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-classic-slip-on-perforated-suede-2,,,,,,,,,9,,beige,,,VN-09-beige-9,0.0,shopify,3,deny,manual,119.95,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
adidas-kids-stan-smith-1,ADIDAS | KID'S STAN SMITH,"The Stan Smith owned the tennis court in the '70s. Today it runs the streets with the same clean, classic style. These kids' shoes preserve the iconic look of the original, made in leather with punched 3-Stripes, heel and tongue logos and lightweight step-in cushioning.",ADIDAS,,SHOES,"adidas, egnition-sample-data, kid",true,Size,1,Color,white,,,AD-02-white-1,0.0,shopify,18,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/7883dc186e15bf29dad696e1e989e914_e444ebb9-e5ab-4516-b0a8-658595fa7192.jpg?v=1667516269,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
adidas-kids-stan-smith-1,,,,,,,,,2,,white,,,AD-02-white-2,0.0,shopify,13,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8cd561824439482e3cea5ba8e3a6e2f6_5769d03f-cbc1-48c0-93c2-cb95d672dff0.jpg?v=1667516269,2,,,,,,,,,,,,,,,,,,,kg,,,,,
adidas-kids-stan-smith-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/2e1f72987692d2dcc3c02be2f194d6c5_4193cdbe-4087-46fe-9820-a2a77609d66d.jpg?v=1667516270,3,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/6216e82660d881e6f2b0e46dc3f8844a_fc594cea-f8e4-4f87-82dc-bc47a72b858d.jpg?v=1667516270,4,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e5247cc373e3b61f18013282a6d9c3c0_84907b0b-2c0f-4651-9968-5f7045a68d83.jpg?v=1667516270,5,,,,,,,,,,,,,,,,,,,,,,,,
vans-old-skool-butterfly-true-white-black-2,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK,"Vans are a staple in skate culture and street style, and this skate sneaker is no exception. Introduced in 1977, the Vans Old Skool sneaker is a classic in the Vans collection. Full of attitude, the Old Skool is durable and lightweight, and can give the other boys in the collection a run for its money. Constructed from canvas, The Vans Old Skool features contrasting suede panels along the toe and heel, plus the iconic stripe along the side of the shoe, and sits over a chunky midsole.",VANS,,SHOES,"egnition-sample-data, men, summer, vans",true,Size,4,Color,white,,,VN-08-white-4,0.0,shopify,5,deny,manual,129.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/cd759395d74526f72c3b0c43c91b4220_33ff282d-cf4d-4745-942d-fec154454120.jpg?v=1667516265,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
vans-old-skool-butterfly-true-white-black-2,,,,,,,,,5,,white,,,VN-08-white-5,0.0,shopify,18,deny,manual,129.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/b9434ec4984a3979f568d71eebec38be_4ca4c06e-9c11-40ba-9092-0bef532b1eb6.jpg?v=1667516265,2,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-old-skool-butterfly-true-white-black-2,,,,,,,,,6,,white,,,VN-08-white-6,0.0,shopify,17,deny,manual,129.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/4921245d10cca7aa239256cbec46be20_611b3d9f-7050-4d6e-9482-332c2836333d.jpg?v=1667516265,3,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-old-skool-butterfly-true-white-black-2,,,,,,,,,7,,white,,,VN-08-white-7,0.0,shopify,3,deny,manual,129.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/474bf8aec6e0f5fdbde6a179bd86acf9_0242d4d3-3599-4ad2-967b-9140a54073be.jpg?v=1667516265,4,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-old-skool-butterfly-true-white-black-2,,,,,,,,,8,,white,,,VN-08-white-8,0.0,shopify,4,deny,manual,129.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/dd3fcc9e9135bc10a57463bc532f7858_a6d3dde5-ea5c-41cd-b9e7-a49648a517a7.jpg?v=1667516265,5,,,,,,,,,,,,,,,,,,,kg,,,,,
vans-old-skool-butterfly-true-white-black-2,,,,,,,,,9,,white,,,VN-08-white-9,0.0,shopify,15,deny,manual,129.95,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-toddler-roshe-one-1,NIKE | TODDLER ROSHE ONE,"The Nike Roshe One Infant Shoe offers breathable comfort and soft yet durable cushioning with a mesh upper and Phylon midsole that doubles as an outsole. The shoe is intended to be versatile, worn with or without socks, dressed up or down, for walking or just taking it easy.",NIKE,,SHOES,"egnition-sample-data, kid, nike",true,Size,4,Color,black,,,NK-02-black-4,0.0,shopify,15,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/0ea90fb43c087d165cbf985098cc951e_39274a07-1c61-4762-9620-5a445df42484.jpg?v=1667516263,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
nike-toddler-roshe-one-1,,,,,,,,,7,,black,,,NK-02-black-7,0.0,shopify,7,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8eeca51f9690c7d3a450ac1afce12447_13f4c4fd-743b-4b38-9a2b-ec7165a065e1.jpg?v=1667516263,2,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-toddler-roshe-one-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e62b9da2f06b91ca1e2ef42437cfd265_9ab627dd-3c8f-479a-967e-028e16683d77.jpg?v=1667516263,3,,,,,,,,,,,,,,,,,,,,,,,,
nike-toddler-roshe-one-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/46a7bbc695d01a6b0e5fee283cbfba99_0517a0a4-96fb-4927-b1a6-48750ff85ad5.jpg?v=1667516263,4,,,,,,,,,,,,,,,,,,,,,,,,
nike-toddler-roshe-one-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/986a2b052ada03689c1c0a576fd00d94_521e212b-d5ec-4aa7-8238-f95d6699e8c3.jpg?v=1667516263,5,,,,,,,,,,,,,,,,,,,,,,,,
vans-sh-8-hi-2,VANS | SH-8 HI,"Vans are a staple in skate culture and street style, and this skate sneaker is no exception. Introduced in the early 70's, the Vans SK8 Hi was responsible for the reduced number of ankle injuries in the skating scene with the extra padded ankle support, but its popularity has grown across different cultural scenes. The Vans SK8 Hi True White is constructed from a combination of canvas and suede and features the signature side stripe detail and vulcanized waffle sole. Available in a range of colours.",VANS,,SHOES,"autumn, egnition-sample-data, men, spring, vans",true,Size,4,Color,black,,,VN-07-black-4,0.0,shopify,0,deny,manual,129.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/4e151d7b538e5aba66295f3a5d67b1f4_d3374a60-a336-42ad-bde2-368ac456fe1b.jpg?v=1667516261,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
